Story_ID,Epic,Requirement_Code,Priority,Title,Acceptance_Criteria,Status,Sprint
US-101,Epic 1: Brand & Hero Positioning,HOME-001,P0,10-Second Hero Value Proposition Reset,"Headline communicates: 'AI. Quality Engineering. Digital Transformation. Built to Scale at Speed.' Dual primary CTAs: 'Talk to an Expert' & 'Explore Our Capabilities'.",Done,Sprint 1
US-102,Epic 1: Brand & Hero Positioning,HOME-003,P0,Four-Part Credibility Strip,"Showcases 20+ Years Leadership, US + India Delivery, Telecom Domain Strength, and AI+QE Heritage.",Done,Sprint 1
US-103,Epic 1: Brand & Hero Positioning,BR-002,P0,Technology Partner vs Staffing Messaging,"Explicitly frames NForce One as a technology delivery partner, eliminating generic staffing copy.",Done,Sprint 1
US-104,Epic 1: Brand & Hero Positioning,DES-001,P0,Brand System Color Architecture,"Derived from logo: Deep Crimson (#C40000), Dark Slate (#020101, #1A1C1D), White (#FFFFFF), and soft slate neutrals.",Done,Sprint 1
US-105,Epic 1: Brand & Hero Positioning,NAV-001,P0,Simplified Navigation Mega-Menu,"Desktop multi-column mega-nav and fast mobile navigation grouping capabilities under 4 pillars.",Done,Sprint 1
US-106,Epic 1: Brand & Hero Positioning,PHOTO-001,P0,Authentic Command Center Photography,"Replaces generic stock imagery with realistic enterprise command center & NOC/SOC operations imagery.",Done,Sprint 1
US-201,Epic 2: Capability Pillars,CAP-001,P0,Pillar 1: AI & Agentic Solutions,"Details Agentic AI, GenAI, AI Agents, RAG, Conversational AI, Voice AI, and enterprise automation with tech tags.",Done,Sprint 2
US-202,Epic 2: Capability Pillars,CAP-002,P0,Pillar 2: Quality Engineering & AI Assurance,"Covers Functional E2E, Automation QA, API testing, LLM evaluation, Hallucination testing, and AI Security testing.",Done,Sprint 2
US-203,Epic 2: Capability Pillars,CAP-001,P0,Pillar 3: Digital Engineering,"Highlights Application Modernization, Web & Mobile Engineering, Microservices, API Development, and Product Engineering.",Done,Sprint 2
US-204,Epic 2: Capability Pillars,CAP-001,P0,Pillar 4: Data Cloud & Enterprise Platforms,"Details Data Engineering, AWS/Azure/GCP, DevOps/MLOps, Pega PRPC, and SAP platform integration.",Done,Sprint 2
US-205,Epic 2: Capability Pillars,CAP-004,P1,Interactive Capability Matrix Switcher,"Tabbed filterable capability matrix allowing visitors to switch between categories with stack badges.",Done,Sprint 1
US-301,Epic 3: Telecom Domain Differentiator,TEL-001,P0,Remove Generic Hardware & Telecom Purge,"Removes generic cabling, phone systems, and manufacturing content.",Done,Sprint 2
US-302,Epic 3: Telecom Domain Differentiator,TEL-002,P0,OSS/BSS Transformation Showcase,"Presents order management, enterprise billing, subscriber provisioning, and service activation workflows.",Done,Sprint 2
US-303,Epic 3: Telecom Domain Differentiator,TEL-002,P0,End-to-End Telecom QA & Testing,"Highlights System Integration Testing (SIT), billing validation, network protocol QA, and regression suites.",Done,Sprint 2
US-304,Epic 3: Telecom Domain Differentiator,TEL-002,P0,Telecom CX Voice AI & Network Operations,"Details Voice AI, IVR call validation, and NOC field technician automation.",Done,Sprint 2
US-305,Epic 3: Telecom Domain Differentiator,TEL-004,P1,Telecom Transformation Dedicated CTAs,"Includes 'Discuss Your Telecom Transformation' and 'Request an AI or QA Assessment'.",Done,Sprint 2
US-401,Epic 4: Innovation & Products,INNOV-001,P1,First-Class Products Navigation & Showcase,"Prominent Innovation & Products section showcasing NForce-built platforms and accelerators.",Done,Sprint 2
US-402,Epic 4: Innovation & Products,PROD-CASE-001,P0,QForce AI & AIKTRA Product Cards,"Presents QForce AI (Self-healing QA) and AIKTRA (Agentic Automation) with problem, solution, and architecture tags.",Done,Sprint 2
